,Name,BUY_Date,Target_Date,Signal
0,SPY,11-26-13,02-03-14,SELL
1,SPY,08-02-22,10-29-22,SELL
2,SPY,12-06-04,02-13-05,BUY
3,SPY,12-27-08,03-06-09,SELL
4,SPY,08-31-11,11-08-11,SELL
5,SPY,11-11-11,01-19-12,BUY
6,SPY,01-05-11,03-24-11,SELL
7,SPY,12-18-17,02-25-18,SELL
8,SPY,06-21-15,08-29-15,SELL
9,SPY,01-30-03,04-09-03,SELL
10,SPY,04-04-20,05-05-20,SELL
11,SPY,10-23-17,12-31-17,SELL
12,SPY,06-17-19,08-25-19,SELL
13,SPY,05-12-21,06-12-21,BUY
14,SPY,07-07-17,09-14-17,BUY
15,SPY,06-22-12,08-30-12,BUY
16,SPY,06-05-20,07-06-20,BUY
17,SPY,02-26-10,05-06-10,SELL
18,SPY,03-07-20,06-03-20,BUY
19,SPY,08-07-10,10-15-10,SELL
20,SPY,01-27-09,04-15-09,BUY
21,SPY,10-22-11,01-08-12,BUY
22,SPY,11-05-04,01-13-05,BUY
23,SPY,12-31-07,03-18-08,SELL
24,SPY,10-05-14,12-13-14,SELL
25,SPY,12-15-16,03-13-17,SELL
26,SPY,12-28-05,03-07-06,SELL
27,SPY,11-01-09,01-09-10,BUY
28,SPY,04-21-05,06-29-05,SELL
29,SPY,03-21-05,05-29-05,BUY
30,SPY,09-28-08,12-06-08,SELL
31,SPY,09-18-05,11-26-05,BUY
32,SPY,04-24-08,07-11-08,SELL
33,SPY,04-13-15,06-21-15,SELL
34,SPY,03-05-16,05-13-16,BUY
35,SPY,01-16-18,04-14-18,SELL
36,SPY,07-19-19,09-26-19,BUY
37,SPY,04-13-19,07-10-19,BUY
38,SPY,02-22-10,05-11-10,SELL
39,SPY,10-23-17,01-19-18,BUY
40,SPY,01-21-16,03-30-16,BUY
41,SPY,09-20-21,12-17-21,BUY
42,SPY,07-06-20,08-06-20,BUY
43,SPY,01-24-06,04-03-06,SELL
44,SPY,12-27-10,03-06-11,SELL
45,SPY,08-19-06,10-27-06,BUY
46,SPY,04-11-21,05-12-21,SELL
47,SPY,10-25-08,01-02-09,BUY
48,SPY,05-05-21,08-01-21,BUY
49,SPY,01-14-10,03-24-10,BUY
50,SPY,04-22-06,07-09-06,BUY
51,SPY,07-13-21,08-13-21,BUY
52,SPY,12-02-18,02-28-19,BUY
53,SPY,01-29-12,04-07-12,SELL
54,SPY,10-12-13,12-20-13,SELL
55,SPY,11-12-19,01-20-20,SELL
56,SPY,10-19-06,12-27-06,BUY
57,SPY,04-10-07,06-27-07,SELL
58,SPY,11-01-14,01-09-15,SELL
59,SPY,10-10-19,12-18-19,SELL
60,SPY,08-05-07,10-13-07,SELL
61,SPY,07-31-18,10-08-18,SELL
62,SPY,07-01-19,09-27-19,BUY
63,SPY,10-05-18,12-13-18,SELL
64,SPY,08-24-04,11-01-04,BUY
65,SPY,04-24-13,07-02-13,SELL
66,SPY,09-05-14,11-13-14,BUY
67,SPY,01-03-15,03-13-15,SELL
68,SPY,05-19-22,06-19-22,SELL
69,SPY,08-18-11,11-04-11,BUY
70,SPY,02-07-15,04-17-15,SELL
71,SPY,06-25-06,09-02-06,BUY
72,SPY,01-13-20,03-22-20,SELL
73,SPY,05-26-17,08-03-17,BUY
74,SPY,09-06-20,10-07-20,BUY
75,SPY,12-21-03,02-28-04,BUY
76,SPY,02-28-18,05-08-18,BUY
77,SPY,06-23-14,08-31-14,SELL
78,SPY,03-17-13,05-25-13,SELL
79,SPY,08-05-05,10-13-05,SELL
80,SPY,11-22-03,01-30-04,BUY
81,SPY,02-06-06,04-25-06,BUY
82,SPY,01-29-14,04-08-14,SELL
83,SPY,05-18-16,07-26-16,BUY
84,SPY,12-22-11,02-29-12,SELL
85,SPY,03-11-21,04-11-21,BUY
86,SPY,03-16-09,06-02-09,BUY
87,SPY,11-13-16,01-21-17,BUY
88,SPY,05-04-11,07-21-11,BUY
89,SPY,03-04-20,04-04-20,BUY
90,SPY,09-13-21,10-14-21,SELL
91,SPY,01-08-21,02-08-21,BUY
92,SPY,11-14-19,02-10-20,BUY
93,SPY,12-24-12,03-03-13,BUY
94,SPY,05-15-10,07-23-10,SELL
95,SPY,04-04-10,06-12-10,SELL
96,SPY,06-03-04,08-11-04,SELL
97,SPY,09-04-18,12-01-18,SELL
98,SPY,01-21-19,04-19-19,BUY
99,SPY,06-23-11,09-09-11,SELL
100,SPY,03-02-17,05-10-17,SELL
101,SPY,09-29-11,12-07-11,BUY
102,SPY,04-14-14,06-22-14,SELL
103,SPY,08-23-12,10-31-12,BUY
104,SPY,09-09-07,11-17-07,SELL
105,SPY,01-22-17,04-01-17,SELL
106,SPY,09-28-19,12-25-19,BUY
107,SPY,03-08-06,05-16-06,SELL
108,SPY,10-12-10,12-29-10,BUY
109,SPY,08-13-21,09-13-21,BUY
110,SPY,10-21-05,12-29-05,SELL
111,SPY,01-29-18,04-08-18,SELL
112,SPY,06-19-11,08-27-11,SELL
113,SPY,01-15-04,03-24-04,SELL
114,SPY,05-22-13,07-30-13,BUY
115,SPY,06-14-08,08-22-08,SELL
116,SPY,06-10-12,08-27-12,SELL
117,SPY,06-27-13,09-04-13,SELL
118,SPY,08-06-20,09-06-20,BUY
119,SPY,02-24-20,05-03-20,BUY
120,SPY,03-25-04,06-02-04,SELL
121,SPY,02-15-22,03-18-22,BUY
122,SPY,11-24-05,02-01-06,SELL
123,SPY,02-06-07,04-16-07,BUY
124,SPY,04-10-22,07-07-22,SELL
125,SPY,01-21-07,04-09-07,BUY
126,SPY,12-19-16,02-26-17,BUY
127,SPY,08-19-08,10-27-08,SELL
128,SPY,02-01-12,04-19-12,BUY
129,SPY,06-24-07,09-01-07,BUY
130,SPY,12-07-09,02-14-10,SELL
131,SPY,03-19-15,05-27-15,BUY
132,SPY,08-19-17,10-27-17,BUY
133,SPY,03-04-03,05-12-03,BUY
134,SPY,01-02-07,03-12-07,SELL
135,SPY,08-14-20,11-10-20,BUY
136,SPY,08-02-10,10-19-10,BUY
137,SPY,07-27-14,10-04-14,SELL
138,SPY,02-17-11,05-06-11,SELL
139,SPY,12-24-13,03-03-14,BUY
140,SPY,01-20-19,03-30-19,BUY
141,SPY,10-18-10,12-26-10,BUY
142,SPY,11-07-20,12-08-20,BUY
143,SPY,04-13-18,06-21-18,SELL
144,SPY,04-18-22,05-19-22,SELL
145,SPY,12-17-18,02-24-19,BUY
146,SPY,02-15-05,04-25-05,SELL
147,SPY,03-31-18,06-27-18,SELL
148,SPY,03-30-03,06-07-03,SELL
149,SPY,10-07-16,12-15-16,BUY
150,SPY,10-07-20,11-07-20,BUY
151,SPY,10-01-16,12-28-16,BUY
152,SPY,12-15-19,02-22-20,BUY
153,SPY,06-12-21,07-13-21,BUY
154,SPY,01-28-09,04-07-09,BUY
155,SPY,06-25-10,09-11-10,SELL
156,SPY,05-26-09,08-03-09,BUY
157,SPY,11-14-21,12-15-21,BUY
158,SPY,07-21-12,09-28-12,SELL
159,SPY,09-26-04,12-04-04,BUY
160,SPY,01-30-11,04-09-11,BUY
161,SPY,07-29-15,10-06-15,SELL
162,SPY,05-23-14,07-31-14,BUY
163,SPY,11-27-15,02-04-16,SELL
164,SPY,03-31-10,06-17-10,SELL
165,SPY,05-06-04,07-14-04,SELL
166,SPY,10-19-07,12-27-07,BUY
167,SPY,12-08-20,01-08-21,BUY
168,SPY,06-29-09,09-06-09,BUY
169,SPY,06-19-22,07-20-22,BUY
170,SPY,05-27-03,08-04-03,BUY
171,SPY,06-29-16,09-06-16,SELL
172,SPY,08-30-16,11-07-16,BUY
173,SPY,04-16-07,06-24-07,SELL
174,SPY,07-11-03,09-18-03,BUY
175,SPY,09-30-09,12-08-09,BUY
176,SPY,08-20-22,09-20-22,SELL
177,SPY,03-01-08,05-18-08,SELL
178,SPY,06-21-18,08-29-18,BUY
179,SPY,07-21-06,10-07-06,BUY
180,SPY,07-28-09,10-05-09,BUY
181,SPY,05-13-07,07-21-07,BUY
182,SPY,03-28-19,06-05-19,SELL
183,SPY,12-22-15,02-29-16,BUY
184,SPY,09-18-10,11-26-10,BUY
185,SPY,09-17-06,11-25-06,BUY
186,SPY,02-08-21,03-11-21,BUY
187,SPY,01-29-22,04-27-22,BUY
188,SPY,05-11-17,08-07-17,BUY
189,SPY,06-07-09,08-24-09,BUY
190,SPY,01-15-22,02-15-22,SELL
191,SPY,07-01-05,09-08-05,SELL
192,SPY,10-01-19,11-01-19,BUY
193,SPY,10-17-15,12-25-15,SELL
194,SPY,08-24-06,11-10-06,BUY
195,SPY,05-26-05,08-03-05,BUY
196,SPY,11-27-08,02-13-09,SELL
197,SPY,09-23-17,12-01-17,SELL
198,SPY,08-01-16,10-09-16,BUY
199,SPY,07-26-09,10-12-09,BUY
200,SPY,12-12-11,02-28-12,BUY
201,SPY,08-28-18,11-05-18,SELL
202,SPY,08-27-09,11-04-09,SELL
203,SPY,02-10-08,04-19-08,BUY
204,SPY,12-02-19,01-02-20,BUY
205,SPY,06-24-10,09-01-10,SELL
206,SPY,05-05-20,06-05-20,BUY
207,SPY,03-23-12,06-09-12,SELL
208,SPY,10-17-09,01-03-10,BUY
209,SPY,02-02-20,03-04-20,SELL
210,SPY,04-09-12,06-17-12,SELL
211,SPY,08-02-11,10-10-11,SELL
212,SPY,05-09-15,07-17-15,SELL
213,SPY,04-10-16,06-18-16,BUY
214,SPY,06-23-18,09-19-18,BUY
215,SPY,08-07-17,11-03-17,BUY
216,SPY,09-01-13,11-09-13,BUY
217,SPY,11-10-12,01-18-13,BUY
218,SPY,05-12-12,07-20-12,SELL
219,SPY,02-21-19,05-01-19,SELL
220,SPY,07-21-08,09-28-08,SELL
221,SPY,11-23-10,01-31-11,BUY
222,SPY,08-30-08,11-16-08,SELL
223,SPY,11-19-06,01-27-07,BUY
224,SPY,05-19-18,07-27-18,BUY
225,SPY,04-02-11,06-10-11,SELL
226,SPY,09-09-15,11-17-15,BUY
227,SPY,03-18-22,04-18-22,SELL
228,SPY,03-01-09,05-09-09,SELL
229,SPY,07-14-04,09-21-04,SELL
230,SPY,12-15-21,01-15-22,SELL
231,SPY,03-14-17,06-10-17,SELL
232,SPY,01-02-20,02-02-20,SELL
233,SPY,07-20-22,08-20-22,BUY
234,SPY,06-10-07,08-27-07,SELL
235,SPY,11-23-17,01-31-18,BUY
236,SPY,04-13-09,06-21-09,BUY
237,SPY,03-07-11,05-15-11,BUY
238,SPY,02-01-13,04-11-13,BUY
239,SPY,03-04-21,05-31-21,BUY
240,SPY,04-03-06,06-11-06,SELL
241,SPY,04-11-17,06-19-17,SELL
242,SPY,09-12-09,11-29-09,SELL
243,SPY,07-22-06,09-29-06,BUY
244,SPY,10-09-07,12-26-07,SELL
245,SPY,01-03-08,03-12-08,SELL
246,SPY,03-03-12,05-11-12,SELL
247,SPY,03-10-07,05-18-07,BUY
248,SPY,01-18-20,04-15-20,SELL
249,SPY,07-30-21,10-26-21,BUY
250,SPY,07-23-07,10-09-07,BUY
251,SPY,11-01-19,12-02-19,BUY
252,SPY,04-27-03,07-05-03,SELL
253,SPY,12-13-21,03-11-22,SELL
254,SPY,11-03-06,01-20-07,SELL
255,SPY,09-26-12,12-04-12,SELL
256,SPY,05-14-06,07-22-06,SELL
257,SPY,10-28-03,01-05-04,BUY
258,SPY,03-09-08,05-17-08,SELL
259,SPY,06-29-08,09-15-08,SELL
260,SPY,05-06-19,07-14-19,BUY
261,SPY,04-09-08,06-17-08,SELL
262,SPY,01-09-10,03-28-10,BUY
263,SPY,10-14-21,11-14-21,SELL
264,SPY,05-18-08,07-26-08,SELL
265,SPY,01-09-05,03-19-05,SELL
266,SPY,11-03-18,01-11-19,SELL
267,SPY,09-22-03,11-30-03,BUY
